Book Code,Title,Category,Price,Pages
1048,Ringworld,Science Fiction,883.77,11754
1049,Rendezvous with Rama,Hard science fiction,5534.50,3919
1050,Sense and Sensibility,Children's literature,8361.17,3335
1051,Speaker for the Dead,Science Fiction,3406.55,4915
1052,Starship Troopers,Science Fiction,3758.36,4052
1053,Sir Gawain and the Green Knight,Poetry,4762.41,6031
1054,Stuart Little,Speculative fiction,7777.63,870
1055,The Lord of the Rings,Adventure novel,6729.70,3430
1056,The Doors of Perception,Philosophy,9014.79,9668
1057,The Time Machine,Science Fiction,2551.72,3763
1058,The Shockwave Rider,Science Fiction,4878.25,6498
1059,The Shining,Gothic fiction,8762.39,5440
1060,Mort,Science Fiction,4364.05,2376
1061,The Hound of the Baskervilles,Crime Fiction,326.42,6083
1062,The Hobbit,Children's literature,1448.85,4905
1063,The Great Divorce,Speculative fiction,6690.58,271
1064,The Screwtape Letters,Epistolary novel,9468.22,8929
1065,The Pit and the Pendulum,Horror,3932.06,11572
1066,The Hunt for Red October,Novel,6210.77,9898
1067,The Cardinal of the Kremlin,Thriller,7439.79,6161
1068,Debt of Honor,Thriller,8442.56,8386
1069,Tunnel in the Sky,Science Fiction,4010.93,4806
1070,The Mismeasure of Man,Non-fiction,3749.88,2055
1071,The Picture of Dorian Gray,Gothic fiction,9416.28,8570
1072,The Sentinel,Speculative fiction,3303.76,10710
1073,The Fountains of Paradise,Science Fiction,1024.89,2024
1074,Lord of the Flies,Speculative fiction,1602.50,3562
1075,Through the Looking-Glass,Children's literature,5598.25,3414
1076,Waiting for Godot,Poetry,9387.29,11212
1077,The Wanderer,Science Fiction,5939.96,9952
1078,2010: Odyssey Two,Science Fiction,3981.21,7743
1079,Brave New World,Science Fiction,6075.07,3642
1080,Aeneid,Fantasy,7246.23,10910
1081,Paradise Lost,Poetry,1980.27,2411
1082,The Invisible Man,Albino bias,625.22,4124
1083,Twenty Thousand Leagues Under the Sea,Science Fiction,1090.30,1176
1084,Keep the Aspidistra Flying,Novel,9078.94,11776
1085,"Lions' Commentary on UNIX 6th Edition, with Source Code",Computer Science,4251.23,8325
1086,The Myth of Sisyphus,Existentialism,2390.89,4034
1087,Northanger Abbey,Gothic fiction,8203.18,10948
1088,The Rime of the Ancient Mariner,Poetry,8649.64,9173
1089,The Eye of the World,Speculative fiction,2322.75,7566
1090,The Great Hunt,Speculative fiction,2110.89,11291
1091,A Crown of Swords,Speculative fiction,1218.59,6149
1092,Winter's Heart,Speculative fiction,2394.73,11838
1093,Around the World in Eighty Days,Children's literature,8661.50,3039
1094,The Grapes of Wrath,Novel,6577.11,1935
1095,How Green Was My Valley,Historical fiction,6042.29,8211
1096,The Queen of the Damned,Horror,2713.83,7746
1097,Gulliver's Travels,Science Fiction,6206.46,6825
1098,The Color Purple,Epistolary novel,3501.53,3033
1099,A Midsummer Night's Dream,Fantasy,6513.31,9528
1100,The English Patient,Fiction,6623.26,7315
1101,The Forge of God,Science Fiction,1527.79,10672
1102,Blood Music,Science Fiction,4762.43,2871
1103,The World According to Garp,Literary fiction,2177.77,8666
1104,Mutiny on the Bounty,History,2338.84,4210
1105,The Memory of Earth,Science Fiction,2697.69,1292
1106,Sixth Column,Science Fiction,8918.70,9940
1107,The Puppet Masters,Science Fiction,3347.28,6687
1108,The Wind in the Willows,Children's literature,284.94,6014
1109,The Hunting of the Snark,Speculative fiction,1696.00,1249
1110,Jonathan Livingston Seagull,Self-help,4877.66,10118
1111,I Am Legend,Vampire fiction,3583.94,4272
1112,The Stranger,Crime Fiction,7042.85,8418
1113,The Man in the High Castle,Alternate history,7505.01,3106
1114,Rocket Ship Galileo,Science Fiction,3241.23,11115
1115,Space Cadet,Science Fiction,543.12,2292
1116,Between Planets,Science Fiction,3476.22,9024
1117,Starman Jones,Science Fiction,1562.59,1073
1118,Podkayne of Mars,Science Fiction,7113.95,2616
1119,Story of O,Erotica,5694.29,4834
1120,The Star Beast,Science Fiction,8801.58,3692
1121,Dr. No,Spy fiction,6216.06,8000
1122,The Andromeda Strain,Science Fiction,3663.72,2210
1123,Harry Potter and the Philosopher's Stone,Children's literature,6054.55,5665
C1124,Down and Out in Paris and London,Autobiographical novel,3487.33,10408
1125,The Last Man,Catastrophic literature,8366.84,8186
1126,The Transmigration of Timothy Archer,Speculative fiction,9705.58,11825
1127,Dirk Gently's Holistic Detective Agency,Science Fiction,6519.78,658
1128,Dragonflight,Science Fiction,6637.24,5512
1129,The Diamond Age,Cyberpunk,7220.73,7989
1130,The Hunchback of Notre Dame,Children's literature,711.30,9060
1131,Alice's Adventures in Wonderland,Children's literature,8055.79,3052
1132,Now Wait for Last Year,Science Fiction,2402.81,10049
1133,The Magician's Nephew,Speculative fiction,2907.51,1682
1134,The Patchwork Girl of Oz,Speculative fiction,1627.32,9107
1135,To Sail Beyond the Sunset,Science Fiction,9647.97,2754
1136,Double Star,Science Fiction,2539.55,3886
1137,Time for the Stars,Science Fiction,7900.75,1325
1138,Citizen of the Galaxy,Science Fiction,3769.63,3518
1139,Stranger in a Strange Land,Science Fiction,4671.20,7223
1140,Glory Road,Science Fiction,6170.72,6476
1141,The Moon Is a Harsh Mistress,Science Fiction,5348.15,3545
1142,I Will Fear No Evil,Science Fiction,2537.52,8840
1143,The Cat Who Walks Through Walls,Science Fiction,3176.82,5406
1144,Methuselah's Children,Science Fiction,4772.52,1907
1145,The Wonderful Wizard of Oz,Speculative fiction,2557.05,7444
1146,Wuthering Heights,Gothic fiction,9290.62,10962
1147,Jane Eyre,Novel,4460.60,10155
1148,Catch-22,Anti-war,2165.39,6458
1149,Robinson Crusoe,Speculative fiction,9320.57,5553
1150,Clear and Present Danger,Thriller,3220.47,4717
1151,Castle Rackrent,Fiction,3090.06,244
1152,Emma,Children's literature,4550.51,4776
1153,Charlie and the Chocolate Factory,Children's literature,9304.67,4922
1154,Anne of Green Gables,Children's literature,2234.06,10495
1155,The Wasp Factory,Fiction,7097.57,3713
1156,Espedair Street,Fiction,9823.82,8275
1157,The Crow Road,Mystery,286.97,10876
1158,Consider Phlebas,Science Fiction,2240.16,8179
1159,Inversions,Science Fiction,7571.78,11832
1160,Ender's Game,Science Fiction,6986.98,5818
1161,Measure for Measure,Fiction,4121.87,6224
1162,"Flow My Tears, The Policeman Said",Science Fiction,966.90,8433
1163,Job: A Comedy of Justice,Science Fiction,6078.43,1959
1164,Farmer in the Sky,Science Fiction,9920.16,3145
1165,Friday,Science Fiction,2588.11,7909
1166,Have Space Suit-Will Travel,Science Fiction,263.16,11062
1167,Red Planet,Science Fiction,1748.84,3304
1168,The Number of the Beast,Science Fiction,4448.69,11371
1169,Foundation's Edge,Science Fiction,7862.08,11902
1170,The Caves of Steel,Science Fiction,7924.15,11743
1171,Prelude to Foundation,Science Fiction,6602.88,1077
1172,Foundation and Earth,Science Fiction,1020.93,8549
1173,Time Enough for Love,Science Fiction,9929.80,6883
1174,The Rolling Stones,Science Fiction,909.58,2998
1175,The Door into Summer,Science Fiction,3150.84,5545
1176,Farnham's Freehold,Science Fiction,2550.66,3962
1177,The Maltese Falcon,Crime Fiction,3022.18,3843
1178,The Treasure of the Sierra Madre,Western,459.96,9266
1179,Funeral in Berlin,Spy fiction,4476.69,1798
1180,Billion-Dollar Brain,Science Fiction,7567.17,10167
1181,Kim,Spy fiction,1762.81,6183
1182,Whit,Science Fiction,7374.94,5510
1183,Mostly Harmless,Science Fiction,5616.76,556
1184,Native Son,Fiction,1454.88,4918
1185,A Farewell to Arms,Fiction,7587.51,5319
1186,Imitation of Life,Novel,2468.93,10605
1187,The Last Command,Science Fiction,9410.76,5137
1188,The Way of All Flesh,Autobiographical novel,7559.30,1488
1189,Alice Adams,Fantasy,3251.73,8441
1190,Les Misérables,Fiction,3651.53,2379
1191,Dodsworth,Novel,8080.66,3830
1192,Lost Horizon,Children's literature,1923.53,2355
1193,The Red Badge of Courage,Fiction,9075.15,11143
1194,"Goodbye, Mr. Chips",Psychological novel,445.57,3395
1195,Of Mice and Men,Novella,8131.66,11913
1196,Ishmael,Speculative fiction,8306.77,367
1197,David Copperfield,Novel,2703.01,10060
1198,Childhood's End,Science Fiction,3750.76,695
1199,The Two Towers,Science Fiction,5539.71,5401
1200,The Return of the King,Science Fiction,2310.29,1640
1201,The Drawing of the Three,Science Fiction,6698.08,3260
1202,The Gunslinger,Science Fiction,7359.40,3227
1203,On Writing: A Memoir of the Craft,Autobiography,7783.11,11740
1204,The Body,Novella,7450.83,10553
1205,Wizard and Glass,Science Fiction,4600.02,4214
1206,The Waste Lands,Fantasy,9613.15,6549
1207,The Eyes of the Dragon,Children's literature,1326.48,4861
1208,Dolores Claiborne,Thriller,955.10,6099
1209,Gerald's Game,Thriller,1464.19,11704
1210,The Girl Who Loved Tom Gordon: A Novel,Fiction,6620.69,3917
1211,The Green Mile,Fantasy,1695.92,10063
1212,The Long Walk,Science Fiction,5708.52,6486
1213,Solaris,Science Fiction,8318.40,6134
1214,The Day of the Triffids,Fiction,6749.33,6968
1215,Love and Mr Lewisham,Science Fiction,7410.65,3279
1216,The Stardroppers,Science Fiction,4812.74,1124
1217,Carrie,Science Fiction,8243.67,9214
1218,Watership Down,Speculative fiction,7159.75,4780
1219,Harriet the Spy,Spy fiction,5086.44,10904
1220,The Big Sleep,Crime Fiction,7470.90,1372
1221,State of the Art,Science Fiction,773.04,8739
1222,Player of Games,Science Fiction,7782.97,6826
1223,Excession,Science Fiction,4534.33,2295
1224,Look to Windward,Science Fiction,6605.75,373
1225,Use of Weapons,Science Fiction,4109.92,8377
1226,"So Long, and Thanks for All the Fish",Science Fiction,6191.26,11951
1227,Choke,Black comedy,6117.20,2259
1228,A Friend of the Earth,Speculative fiction,6192.55,547
1229,In Search of Lost Time,Autobiographical novel,7042.96,1405
1230,Liza of Lambeth,Speculative fiction,7163.11,6507
1231,Weirdstone of Brisingamen,Speculative fiction,1315.82,6892
1232,Human Stain,Fiction,5499.22,558
1233,Picnic at Hanging Rock,Mystery,2247.16,6194
1234,"I, the Jury",Crime Fiction,2282.28,11841
1235,Thinks ...,Fiction,769.66,1816
1236,Adventures of Pinocchio,Children's literature,1593.29,11462
1237,Smith of Wootton Major,Fantasy,3425.37,3841
1238,"England, England",Speculative fiction,2073.24,9571
1239,Dune,Conspiracy fiction,7557.13,3030
1240,Feersum Endjinn,Science Fiction,9229.31,4739
1241,Against a Dark Background,Science Fiction,9141.86,3247
1242,Just Like That,Autobiographical novel,2555.40,4431
1243,Memoirs of a Fox-Hunting Man,Roman A clef,2632.00,3018
1244,Uncle Tom's Cabin,Novel,3732.23,2545
1245,Beach,Fiction,1392.61,1329
1246,Murder Must Advertise,Mystery,3002.81,4429
1247,Man Who Would Be King,Lost World,1231.79,1515
1248,To Kill a Mockingbird,Fiction,2025.86,2138
1249,Mildred Pierce,Mystery,6611.18,5525
1250,Christmas Carol,Ghost story,5800.25,9267
1251,About a Boy,Fiction,954.17,4229
1252,Miss Lulu Bett,Fiction,4520.53,6814
1253,Flatland: A Romance of Many Dimensions,Science Fiction,9002.87,5404
1254,Sick Puppy,Novel,2613.35,5079
1255,Prisoner of Zenda,History,7723.86,4069
1256,Great Gatsby,Fiction,9812.20,7955
1257,For Whom the Bell Tolls,War novel,3778.65,4243
1258,From Russia with Love,Spy fiction,3479.28,11377
1259,Tombs of Atuan,Science Fiction,6127.46,534
MC1260,Good Omens,Science Fiction,5251.50,3006
PS1261,Coraline,Fantasy,2589.43,11523
BU1262,The Sandman: Dream Country,Fantasy,394.78,11265
TC1263,Interview with the Vampire,Vampire fiction,2095.53,2321
BU1264,Tartarin de Tarascon,Children's literature,527.76,2961
TC1265,SS-GB,Alternate history,4299.62,1210
MC1266,Finnegans Wake,Novel,3006.16,2245
PC1267,The Virgin Suicides,Fiction,7915.01,8780
PS1268,What Makes Sammy Run?,Satire,6014.07,7316
TC1269,The Razor's Edge,Novel,7665.71,11414
BU1270,King Solomon's Mines,Lost World,1494.07,6306
TC1271,Babel-17,Science Fiction,1739.44,8037
PS1272,The Languages of Pao,Science Fiction,2695.17,9220
TC1273,The Count of Monte Cristo,Romance novel,5209.36,1081
PS1274,Cat's Cradle,Science Fiction,4963.53,4078
MC1275,Excellent Women,Fiction,1426.87,7191
PS1276,The Scarlet Pimpernel,Adventure novel,2765.62,11715
PS1277,The Robe,Speculative fiction,8359.02,393
BU1278,The Legend of Sleepy Hollow,Speculative fiction,2255.05,1706
TC1279,The Thirty-nine Steps,Thriller,7165.71,8016
PC1280,Dead Air,Fiction,4559.20,5969
BU1281,Nibelungenlied,Autobiography,8537.41,2097
BU1282,The Exorcist,Science Fiction,9608.84,3831
PS1283,A Severed Head,Fiction,7087.73,6213
MC1284,Coming Up for Air,Fiction,7977.77,8645
TC1285,Shadow Puppets,Science Fiction,1977.71,7453
BU1286,The Road to Mars,Science Fiction,6087.48,7720
TC1287,Regeneration,War novel,4039.90,9650
PC1288,House of Leaves,Horror,8814.42,5160
TC1289,The Whalestoe Letters,Epistolary novel,7845.25,8378
PC1290,Restoree,Science Fiction,1327.46,7100
TC1291,Mister Roberts,War novel,7767.15,9178
MC1292,Elmer Gantry,Fiction,1021.60,3882
TC1293,Sons and Lovers,Autobiographical novel,8810.43,883
PS1294,Survivor,Novel,6238.97,11946
MC1295,The Jungle,Politics,3744.67,5833
TC1296,Level 7,Science Fiction,8979.72,2904
BU1297,The Prince,Treatise,8467.83,2263
BU1298,Sounder,Children's literature,6131.98,212
TC1299,Nemesis,Science Fiction,9584.45,11577
TC1300,Island of the Sequined Love Nun,Speculative fiction,4965.33,4415
TC1301,The Lust Lizard of Melancholy Cove,Adventure,9619.70,5906
PC1302,Quartet in Autumn,Fiction,5369.88,4401
MC1303,Some Tame Gazelle,Comedy,9976.65,7226
BU1304,Satyricon,Novel,8774.63,7670
PS1305,"Guns, Germs, and Steel",History,8736.63,11264
TC1306,A Passage to India,Fiction,6706.28,1218
TC1307,A Room with a View,Travel,313.82,6717
BU1308,"Alas, Babylon",Science Fiction,6067.23,6499
PS1309,Sister Carrie,Fiction,1304.47,3273
PS1310,The Accidental Tourist,Fiction,9981.20,4589
PC1311,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Adventure,6904.13,9010
BU1312,The Remains of the Day,Fiction,1144.26,2053
BU1313,Crime and Punishment,Crime Fiction,4037.52,9380
PS1314,The Long Dark Tea-Time of the Soul,Science Fiction,5699.48,9642
BU1315,The Railway Children,Children's literature,3872.75,9438
TC1316,Imperial Earth,Science Fiction,351.24,3561
BU1317,The Masque of the Red Death,Gothic fiction,2567.56,9643
PS1318,Chocolat,Novel,2243.01,6164
BU1319,The Ghost Road,War novel,615.31,8125
TC1320,Rosemary's Baby,Speculative fiction,9025.42,10427
BU1321,This Perfect Day,Science Fiction,9176.41,11497
PS1322,The Boys from Brazil,Thriller,1028.64,6379
MC1323,A Descent into the Maelstrom,Science Fiction,3909.88,2613
MC1324,Sliver,Mystery,6573.55,9981
BU1325,The Purloined Letter,Detective fiction,8065.35,6004
PS1326,The Tale of Genji,Fiction,8630.65,11405
PS1327,Master and Commander,Historical fiction,2335.84,9476
PC1328,The Devil and Daniel Webster,Fantasy,386.87,9831
MC1329,The End of Eternity,Novel,9325.41,5015
TC1330,The Newcomes,Fiction,6305.20,3867
PC1331,Little Dorrit,Fiction,3733.99,11209
BU1332,A Man Called Horse,Short story,9942.75,4490
MC1333,Where Angels Fear to Tread,Fiction,7183.20,5424
BU1334,Shame,Speculative fiction,2525.99,7166
BU1335,Trent's Last Case,Mystery,9632.74,1154
PC1336,Waverley,Historical novel,4128.16,5500
PS1337,The Vampire Lestat,Children's literature,8296.52,8637
PS1338,The Tale of the Body Thief,Children's literature,4342.70,8367
TC1339,Memnoch the Devil,Gothic fiction,7198.51,3863
BU1340,The Further Adventures of Robinson Crusoe,Fiction,7328.15,7250
BU1341,"The 120 Days of Sodom, or the School of Libertinism",Erotica,5415.03,4211
TC1342,War and Peace,War novel,7760.21,234
TC1343,On the Beach,Science Fiction,530.87,1918
PS1344,Son Excellence Eugène Rougon,Novel,6590.16,10983
MC1345,La Curée,Novel,6618.31,4269
TC1346,L'Argent,Novel,2185.95,5157
PC1347,The Crying of Lot 49,Speculative fiction,1966.78,6672
MC1348,Jack of Shadows,Science Fiction,9602.13,11506
PS1349,Whose Body?,Mystery,6549.28,6612
PS1350,Clouds of Witness,Mystery,6777.83,5310
PS1351,Unnatural Death,Mystery,384.64,502
PC1352,The Unpleasantness at the Bellona Club,Mystery,1417.36,5312
BU1353,Strong Poison,Mystery,691.74,10643
BU1354,Five Red Herrings,Mystery,8665.31,10094
MC1355,Have His Carcase,Mystery,5978.06,3189
BU1356,The Nine Tailors,Mystery,9082.43,1880
TC1357,Busman's Honeymoon,Mystery,2162.24,1317
PS1358,"Thrones, Dominations",Mystery,5200.12,3213
TC1359,Light in August,Fiction,1250.61,877
TC1360,Harry Potter and the Order of the Phoenix,Fantasy,6819.19,10845
PS1361,Consciousness Explained,Philosophy,1092.77,6508
TC1362,Romance of the Three Kingdoms,War novel,8876.03,2770
BU1363,The Dragon in the Sea,Thriller,5882.89,6679
PC1364,Destination: Void,Science Fiction,5806.93,337
TC1365,Whipping Star,Science Fiction,4840.50,4059
PS1366,The Dosadi Experiment,Science Fiction,295.50,3684
PS1367,The Transparent Society,Anthropology,7251.24,7897
PC1368,The Poisoned Chocolates Case,Mystery,2443.23,9249
PS1369,Vurt,Science Fiction,3129.46,915
BU1370,Fast Food Nation: The Dark Side of the All-American Meal,Non-fiction,1697.00,1455
BU1371,The Dice Man,Fiction,2593.72,9918
TC1372,The Search for the Dice Man,Novel,7898.85,5045
MC1373,Anna Karenina,Novel,8981.40,8595
TC1374,Adventures of Wim,Comic novel,3100.57,2876
PS1375,High Fidelity,Fiction,8311.33,9667
PC1376,The Red House Mystery,Mystery,5584.52,3516
PS1377,"Hans Brinker, or The Silver Skates",Children's literature,9922.19,4264
PS1378,Dreamcatcher,Speculative fiction,2190.59,1875
PS1379,Long Voyage Back,Science Fiction,4302.83,526
PS1380,Foucault's Pendulum,Speculative fiction,4143.10,5153
BU1381,Chitty Chitty Bang Bang,Speculative fiction,9373.34,4274
BU1382,Oliver Twist,Social novel,5344.62,3658
MC1383,East of Eden,Novel,1137.34,404
MC1384,The Old Man and the Sea,Sea story,4017.40,11651
MC1385,The Children of Men,Speculative fiction,4948.05,11463
MC1386,The Spy Who Came in from the Cold,Spy fiction,418.63,6336
PC1387,The Heart Is a Lonely Hunter,Fiction,2919.28,1784
PS1388,The Postman,Science Fiction,4307.27,2189
MC1389,The Phantom of the Opera,Children's literature,3391.05,2093
BU1390,Murder on the Orient Express,Crime Fiction,2593.46,10172
PS1391,Harry Potter and the Chamber of Secrets,Speculative fiction,4600.54,8646
MC1392,American Psycho,Satire,4336.66,3970
MC1393,Kalimantaan,Speculative fiction,6882.50,1529
MC1394,Creatures of Light and Darkness,Science Fiction,600.35,4618
BU1395,The Handmaid's Tale,Science Fiction,3421.78,3594
PC1396,My Left Foot,Autobiography,9340.38,6541
PS1397,The Pearl,Fiction,7361.95,4659
PS1398,Barchester Towers,Historical fiction,2309.81,5984
MC1399,Our Man in Havana,Speculative fiction,9321.55,6052
BU1400,East Wind: West Wind,Novel,7278.36,2852
PS1401,Treasure Island,Business,6745.16,9311
MC1402,Seven Brothers,Autobiography,8984.84,8023
MC1403,Steppenwolf,Existentialism,9062.18,4488
TC1404,Goldfinger,Spy fiction,4754.56,3040
BU1405,Ironweed,Mystery,6969.33,6934
MC1406,"Girl, Interrupted",Memoir,9279.87,4815
TC1407,Small Gods,Science Fiction,8803.68,2868
MC1408,Jingo,Science Fiction,3931.73,7116
PS1409,The Pursuit of Love,Autobiography,9176.64,11988
MC1410,Moonraker,Spy fiction,8512.72,2323
TC1411,Sophie's Choice,Novel,2513.59,274
PS1412,Season of the Jew,Novel,9143.36,9829
PS1413,The White Plague,Science Fiction,6212.62,1780
TC1414,The Pilgrim's Progress,Speculative fiction,7151.86,2856
MC1415,The Santaroga Barrier,Science Fiction,4048.39,3479
PS1416,The Anatomy of Melancholy,Philosophy,505.77,3558
BU1417,Red Storm Rising,Techno-thriller,8286.41,11106
TC1418,Lady Chatterley's Lover,Erotica,7636.29,7337
PS1419,The Sorrows of Young Werther,Epistolary novel,6784.66,3333
TC1420,"The History of Tom Jones, a Foundling",Fiction,481.04,6876
MC1421,The Fall,Existentialism,6374.92,6270
PS1422,The Man Who Fell to Earth,Science Fiction,9988.68,1117
BU1423,The Quiet Earth,Human extinction,799.89,2826
PC1424,The Phantom Tollbooth,Children's literature,1418.71,262
PC1425,The Hundred and One Dalmatians,Children's literature,3990.41,4714
PS1426,A Philosophical Investigation,Thriller,2212.89,10755
BU1427,The Tortilla Curtain,Fiction,486.24,5742
PC1428,Love in a Cold Climate,Fiction,6868.52,6165
MC1429,The Fountainhead,Fiction,1839.20,8470
PS1430,The Last Continent,Science Fiction,1779.56,11843
BU1431,Laura Blundy,Fiction,6839.42,9991
TC1432,Contact,Science Fiction,2104.25,5532
TC1433,American Gods,Science Fiction,4346.31,1376
PS1434,Stardust,Science Fiction,7220.79,4783
PS1435,World on Fire: How Exporting Free Market Democracy Breeds Ethnic Hatred and Global Instability,Non-fiction,7880.71,1691
MC1436,The Sword in the Stone,Children's literature,5294.27,3925
TC1437,Children of the Mind,Science Fiction,8161.66,2320
PC1438,The Silver Chalice,Historical novel,8246.27,3432
BU1439,Thus Spoke Zarathustra,Prose poetry,7712.88,2179
BU1440,Slaughterhouse-Five,Science Fiction,1381.17,11846
BU1441,The Catcher in the Rye,First-person narrative,5536.01,1305
TC1442,The Name of the Rose,Historical whodunnit,9099.93,1254
PS1443,The Member of the Wedding,Children's literature,710.31,1721
TC1444,Magnificent Obsession,Fiction,4368.48,7294
MC1445,V.,Speculative fiction,6193.12,3256
PC1446,Shogun: A Novel of Japan,Historical fiction,4304.29,2324
PC1447,Goodnight Moon,Children's literature,5233.24,4234
MC1448,Eugene Onegin,Novel,7075.60,5772
TC1449,Elbow Room,Philosophy,9060.70,8802
TC1450,The Adventures of Captain Underpants,Children's literature,5406.04,1945
PS1451,The Rowan,Science Fiction,2791.84,6705
TC1452,Niourk,Science Fiction,8136.21,6947
TC1453,Andromeda,Science Fiction,8108.56,4724
BU1454,Ecotopia,Romance novel,4368.24,2306
BU1455,The Bad Seed,Horror,2128.58,3119
BU1456,"Life, the Universe and Everything",Science Fiction,7084.89,8759
BU1457,The Adventures of Tom Sawyer,Children's literature,8135.35,6193
TC1458,Pebble in the Sky,Science Fiction,4668.76,3990
PC1459,Dred: A Tale of the Great Dismal Swamp,Novel,9920.12,6614
BU1460,Raintree County,Fiction,5084.51,313
PC1461,The Tenant of Wildfell Hall,Epistolary novel,8404.31,11425
BU1462,A Canticle for Leibowitz,Science Fiction,3292.43,7212
PC1463,Ender's Shadow,Science Fiction,6513.48,6429
PS1464,Cards on the Table,Crime Fiction,7188.40,9247
MC1465,The Gambler,Novel,4925.60,7993
PS1466,The Bell Jar,Autobiographical novel,7526.73,5113
BU1467,Democracy in America,Non-fiction,8110.49,11914
TC1468,The Giver,Science Fiction,3669.95,2509
BU1469,A Solitary Grief,Fiction,4786.73,9686
PC1470,Xenocide,Science Fiction,2779.84,9186
MC1471,Sourcery,Science Fiction,6891.14,3876
MC1472,It Can't Happen Here,Science Fiction,3922.41,898
BU1473,My Brilliant Career,Roman A clef,7246.49,6263
BU1474,Fanny Hill,Fiction,8763.33,9679
MC1475,The Restaurant at the End of the Universe,Science Fiction,4055.44,9047
PC1476,The Rebel Angels,Speculative fiction,3497.20,6776
TC1477,Macrolife,Science Fiction,8429.16,11527
PS1478,Till We Have Faces,Speculative fiction,880.92,2899
PC1479,Heidi,Children's literature,5088.15,2668
BU1480,That Hideous Strength,Science Fiction,8827.16,4862
PS1481,The Heart of the Matter,Speculative fiction,7844.12,1818
MC1482,The Legacy of Heorot,Science Fiction,9895.61,9779
PC1483,VALIS,Science Fiction,8333.32,9593
TC1484,The Man Who Awoke,Science Fiction,1749.73,8110
MC1485,The Genesis Quest,Science Fiction,4878.78,2690
BU1486,Critique of Dialectical Reason,Philosophy,7191.98,1053
PC1487,The Velveteen Rabbit,Speculative fiction,4887.45,5981
TC1488,Executive Orders,Thriller,2594.05,2455
BU1489,Tell England,Fiction,8467.52,5866
PS1490,The Woman Who Did,Fiction,4194.06,2900
TC1491,Au Bonheur des Dames,Novel,2467.11,2311
PC1492,Brideshead Revisited,Fiction,6707.49,3391
PC1493,The Collector,Thriller,5966.05,2959
PC1494,King Solomon's Carpet,Crime Fiction,1951.12,2202
TC1495,Uncle Cleans Up,Speculative fiction,5604.13,10173
PC1496,Planet of the Apes,Science Fiction,6274.76,4879
MC1497,The Small House at Allington,Historical fiction,8197.09,3265
BU1498,Framley Parsonage,Historical fiction,1908.44,8916
PC1499,The Three Musketeers,Speculative fiction,1601.82,10797
BU1500,The Strange Case of Dr Jekyll and Mr Hyde,Science Fiction,7095.20,7436
MC1501,Eminent Victorians,Autobiography,3538.40,7636
PC1502,The Prime of Miss Jean Brodie,Fiction,1925.08,4871
MC1503,Death in the Clouds,Crime Fiction,6776.46,6536
